Hostname;RequestNumber;rootDispersion;DispOver8Req;Delay;Offset
2.de.pool.ntp.org;0;0.025924683;0.000000000;0.004119009;0.011886744
2.de.pool.ntp.org;1;0.026062012;0.000150899;0.004269907;0.012133020
2.de.pool.ntp.org;10;0.027145386;0.000426761;0.004103360;0.013026889
2.de.pool.ntp.org;11;0.027267456;0.000426761;0.004122626;0.013052492
2.de.pool.ntp.org;12;0.027389526;0.000426761;0.004423724;0.012866674
2.de.pool.ntp.org;13;0.027511597;0.000426761;0.004047002;0.013343402
2.de.pool.ntp.org;14;0.027618408;0.000665963;0.004694973;0.013987051
2.de.pool.ntp.org;15;0.027755737;0.000665963;0.004370678;0.013707603
2.de.pool.ntp.org;16;0.027877808;0.000665963;0.004279087;0.013631041
2.de.pool.ntp.org;17;0.027999878;0.000665963;0.004371380;0.013454425
2.de.pool.ntp.org;18;0.028121948;0.000665963;0.004129745;0.013758833
2.de.pool.ntp.org;19;0.028244019;0.000665963;0.004076539;0.013838696
2.de.pool.ntp.org;2;0.026184082;0.000150899;0.004124782;0.012281319
2.de.pool.ntp.org;20;0.028366089;0.000665963;0.004271358;0.013946666
2.de.pool.ntp.org;21;0.028472900;0.000665963;0.004208748;0.014099378
2.de.pool.ntp.org;22;0.028594971;0.000665963;0.004211062;0.014126893
2.de.pool.ntp.org;23;0.028717041;0.000665963;0.004558694;0.013850263
2.de.pool.ntp.org;24;0.028839111;0.000820163;0.004849173;0.013672270
2.de.pool.ntp.org;25;0.028961182;0.000820163;0.004390753;0.014155056
2.de.pool.ntp.org;26;0.029083252;0.000820163;0.004279609;0.014460776
2.de.pool.ntp.org;27;0.029205322;0.000820163;0.004271502;0.014786562
2.de.pool.ntp.org;28;0.029342651;0.000820163;0.004652831;0.014236861
2.de.pool.ntp.org;29;0.029449463;0.000820163;0.004167812;0.014790955
2.de.pool.ntp.org;3;0.026306152;0.000150899;0.004188614;0.012227119
2.de.pool.ntp.org;30;0.029571533;0.000820163;0.004294024;0.014818306
2.de.pool.ntp.org;31;0.029693604;0.000820163;0.004206161;0.014968353
2.de.pool.ntp.org;32;0.029815674;0.000820163;0.004163113;0.015222340
2.de.pool.ntp.org;33;0.029937744;0.000820163;0.004454326;0.015533565
2.de.pool.ntp.org;34;0.030059814;0.000820163;0.004102735;0.015366128
2.de.pool.ntp.org;35;0.030181885;0.000820163;0.004534166;0.015025953
2.de.pool.ntp.org;36;0.030288696;0.000820163;0.004038223;0.015639679
2.de.pool.ntp.org;37;0.030410767;0.000820163;0.004111372;0.015718019
2.de.pool.ntp.org;38;0.030532837;0.000855683;0.003993490;0.015838293
2.de.pool.ntp.org;39;0.030654907;0.000855683;0.004312486;0.015699185
2.de.pool.ntp.org;4;0.026428223;0.000317920;0.004436929;0.012069067
2.de.pool.ntp.org;40;0.030776978;0.000855683;0.004073457;0.016014888
2.de.pool.ntp.org;41;0.030899048;0.000855683;0.004342388;0.015793362
2.de.pool.ntp.org;42;0.031036377;0.000855683;0.004516105;0.013884166
2.de.pool.ntp.org;43;0.031143188;0.000855683;0.004510826;0.008303749
2.de.pool.ntp.org;44;0.031265259;0.000855683;0.004231332;0.004581708
2.de.pool.ntp.org;45;0.031387329;0.000855683;0.004358655;0.002764488
2.de.pool.ntp.org;46;0.031509399;0.000855683;0.004349227;0.001540778
2.de.pool.ntp.org;47;0.031631470;0.000855683;0.004333554;0.001087089
2.de.pool.ntp.org;48;0.031753540;0.000855683;0.004327933;0.000583238
2.de.pool.ntp.org;49;0.031875610;0.000855683;0.004234386;0.000848815
2.de.pool.ntp.org;5;0.026550293;0.000336763;0.004455771;0.012083410
2.de.pool.ntp.org;50;0.031997681;0.000855683;0.004375818;0.000384503
2.de.pool.ntp.org;51;0.032104492;0.000855683;0.004606660;0.000705600
2.de.pool.ntp.org;52;0.032226562;0.000855683;0.004364067;0.000349656
2.de.pool.ntp.org;53;0.032348633;0.000884919;0.003964255;0.000820465
2.de.pool.ntp.org;54;0.032485962;0.001106275;0.005070529;0.000510046
2.de.pool.ntp.org;55;0.032608032;0.001106275;0.004020596;0.000912871
2.de.pool.ntp.org;56;0.032730103;0.001106275;0.004230975;0.000825313
2.de.pool.ntp.org;57;0.032852173;0.001106275;0.004301337;0.000867544
2.de.pool.ntp.org;58;0.032958984;0.001106275;0.004512645;0.001423576
2.de.pool.ntp.org;59;0.033081055;0.001106275;0.004593605;0.001854317
2.de.pool.ntp.org;6;0.026672363;0.000426761;0.004029010;0.012639706
2.de.pool.ntp.org;60;0.033203125;0.001106275;0.004115684;0.001293928
2.de.pool.ntp.org;61;0.033325195;0.001106275;0.004169009;0.001368805
2.de.pool.ntp.org;62;0.033447266;0.001106275;0.004229740;0.001707880
2.de.pool.ntp.org;63;0.033569336;0.001106275;0.004599651;0.002001475
2.de.pool.ntp.org;64;0.033691406;0.001106275;0.004210164;0.001799608
2.de.pool.ntp.org;65;0.033798218;0.001106275;0.004103971;0.001827324
2.de.pool.ntp.org;66;0.033920288;0.001106275;0.004422396;0.002030684
2.de.pool.ntp.org;67;0.034042358;0.001106275;0.004275459;0.002309858
2.de.pool.ntp.org;68;0.034179688;0.001106275;0.004358025;0.001909064
2.de.pool.ntp.org;69;0.034301758;0.001161523;0.003909006;0.002362618
2.de.pool.ntp.org;7;0.026779175;0.000426761;0.004191726;0.012778844
2.de.pool.ntp.org;70;0.034423828;0.001161523;0.004225819;0.002217115
2.de.pool.ntp.org;71;0.034545898;0.001161523;0.004293624;0.002280122
2.de.pool.ntp.org;72;0.034652710;0.001161523;0.004181580;0.002454744
2.de.pool.ntp.org;73;0.034774780;0.001161523;0.004229014;0.002762147
