Hostname;Offset;Delay;rootDispersion
ntps1-0.eecsit.tu-berlin.de;0.861367;0.001634;0.000004
ntps1-0.eecsit.tu-berlin.de;0.862065;0.001780;0.000030
ntps1-0.eecsit.tu-berlin.de;0.863226;0.003015;0.000023
ntps1-0.eecsit.tu-berlin.de;0.862126;0.001812;0.000034
ntps1-0.eecsit.tu-berlin.de;0.863211;0.003032;0.000048
ntps1-0.eecsit.tu-berlin.de;0.861700;0.002184;0.000008
ntps1-0.eecsit.tu-berlin.de;0.863182;0.002950;0.000034
ntps1-0.eecsit.tu-berlin.de;0.862097;0.001625;0.000028
ntps1-0.eecsit.tu-berlin.de;0.863324;0.003029;0.000054
ntps1-0.eecsit.tu-berlin.de;0.861789;0.001919;0.000014
ntps1-0.eecsit.tu-berlin.de;0.863234;0.003260;0.000043
ntps1-0.eecsit.tu-berlin.de;0.861316;0.002316;0.000004
ntps1-0.eecsit.tu-berlin.de;0.863138;0.003110;0.000030
ntps1-0.eecsit.tu-berlin.de;0.861743;0.001306;0.000058
ntps1-0.eecsit.tu-berlin.de;0.863015;0.002804;0.000004
ntps1-0.eecsit.tu-berlin.de;0.861822;0.001918;0.000063
ntps1-0.eecsit.tu-berlin.de;0.863223;0.003075;0.000023
ntps1-0.eecsit.tu-berlin.de;0.861812;0.001482;0.000049
ntps1-0.eecsit.tu-berlin.de;0.861730;0.002143;0.000063
ntps1-0.eecsit.tu-berlin.de;0.861665;0.002059;0.000023
ntps1-0.eecsit.tu-berlin.de;0.863922;0.004157;0.000049
ntps1-0.eecsit.tu-berlin.de;0.863250;0.002907;0.000028
ntps1-0.eecsit.tu-berlin.de;0.861654;0.002129;0.000054
ntps1-0.eecsit.tu-berlin.de;0.863425;0.003119;0.000014
ntps1-0.eecsit.tu-berlin.de;0.861686;0.001538;0.000043
ntps1-0.eecsit.tu-berlin.de;0.863193;0.002856;0.000004
ntps1-0.eecsit.tu-berlin.de;0.861901;0.001770;0.000030
ntps1-0.eecsit.tu-berlin.de;0.863191;0.003520;0.000058
ntps1-0.eecsit.tu-berlin.de;0.872601;0.012489;0.000019
ntps1-0.eecsit.tu-berlin.de;0.862004;0.001890;0.000048
ntps1-0.eecsit.tu-berlin.de;0.861933;0.001825;0.000008
ntps1-0.eecsit.tu-berlin.de;0.861761;0.001861;0.000034
ntps1-0.eecsit.tu-berlin.de;0.863260;0.002961;0.000043
ntps1-0.eecsit.tu-berlin.de;0.885300;0.025536;0.000004
ntps1-0.eecsit.tu-berlin.de;0.861997;0.001725;0.000014
ntps1-0.eecsit.tu-berlin.de;0.863204;0.003118;0.000028
ntps1-0.eecsit.tu-berlin.de;0.861907;0.001840;0.000054
ntps1-0.eecsit.tu-berlin.de;0.863171;0.002957;0.000014
ntps1-0.eecsit.tu-berlin.de;0.862828;0.002773;0.000058
ntps1-0.eecsit.tu-berlin.de;0.863276;0.003211;0.000019
ntps1-0.eecsit.tu-berlin.de;0.861923;0.001796;0.000048
ntps1-0.eecsit.tu-berlin.de;0.863236;0.002932;0.000008
ntps1-0.eecsit.tu-berlin.de;0.861926;0.001833;0.000034
ntps1-0.eecsit.tu-berlin.de;0.861568;0.001903;0.000063
ntps1-0.eecsit.tu-berlin.de;0.862043;0.001886;0.000023
ntps1-0.eecsit.tu-berlin.de;0.863089;0.003056;0.000049
ntps1-0.eecsit.tu-berlin.de;0.861937;0.001840;0.000028
ntps1-0.eecsit.tu-berlin.de;0.863167;0.002935;0.000054
ntps1-0.eecsit.tu-berlin.de;0.862182;0.001811;0.000048
ntps1-0.eecsit.tu-berlin.de;0.861986;0.001818;0.000058
ntps1-0.eecsit.tu-berlin.de;0.861604;0.002139;0.000019
ntps1-0.eecsit.tu-berlin.de;0.861939;0.001878;0.000063
ntps1-0.eecsit.tu-berlin.de;0.862297;0.002142;0.000023
ntps1-0.eecsit.tu-berlin.de;0.861817;0.001947;0.000049
ntps1-0.eecsit.tu-berlin.de;0.861929;0.001846;0.000043
ntps1-0.eecsit.tu-berlin.de;0.861977;0.001933;0.000004
ntps1-0.eecsit.tu-berlin.de;0.863168;0.003073;0.000030
ntps1-0.eecsit.tu-berlin.de;0.861684;0.001617;0.000058
ntps1-0.eecsit.tu-berlin.de;0.862796;0.003320;0.000019
ntps1-0.eecsit.tu-berlin.de;0.861750;0.001436;0.000063
ntps1-0.eecsit.tu-berlin.de;0.862750;0.003289;0.000023
ntps1-0.eecsit.tu-berlin.de;0.861681;0.002007;0.000049
ntps1-0.eecsit.tu-berlin.de;0.863104;0.003139;0.000013
ntps1-0.eecsit.tu-berlin.de;0.861833;0.002404;0.000039
ntps1-0.eecsit.tu-berlin.de;0.863174;0.003035;0.000065
ntps1-0.eecsit.tu-berlin.de;0.861455;0.001609;0.000028
ntps1-0.eecsit.tu-berlin.de;0.862787;0.003104;0.000054
ntps1-0.eecsit.tu-berlin.de;0.861714;0.001552;0.000032
ntps1-0.eecsit.tu-berlin.de;0.862076;0.002125;0.000058
ntps1-0.eecsit.tu-berlin.de;0.861752;0.001917;0.000019
ntps1-0.eecsit.tu-berlin.de;0.861522;0.002075;0.000063
ntps1-0.eecsit.tu-berlin.de;0.800461;0.075841;0.000023
ntps1-0.eecsit.tu-berlin.de;0.862742;0.003497;0.000049
ntps1-0.eecsit.tu-berlin.de;0.862067;0.002318;0.000013
ntps1-0.eecsit.tu-berlin.de;0.861622;0.001551;0.000039
ntps1-0.eecsit.tu-berlin.de;0.861871;0.001764;0.000065
ntps1-0.eecsit.tu-berlin.de;0.863131;0.003129;0.000013
ntps1-0.eecsit.tu-berlin.de;0.861870;0.001803;0.000039
ntps1-0.eecsit.tu-berlin.de;0.863173;0.002927;0.000065
ntps1-0.eecsit.tu-berlin.de;0.861552;0.001508;0.000043
ntps1-0.eecsit.tu-berlin.de;0.863397;0.003308;0.000004
ntps1-0.eecsit.tu-berlin.de;0.861711;0.001587;0.000048
ntps1-0.eecsit.tu-berlin.de;0.863110;0.003089;0.000008
ntps1-0.eecsit.tu-berlin.de;0.861672;0.002126;0.000034
ntps1-0.eecsit.tu-berlin.de;0.862435;0.002273;0.000013
ntps1-0.eecsit.tu-berlin.de;0.862097;0.002021;0.000039
ntps1-0.eecsit.tu-berlin.de;0.861648;0.001389;0.000065
ntps1-0.eecsit.tu-berlin.de;0.861780;0.001973;0.000043
ntps1-0.eecsit.tu-berlin.de;0.861917;0.001844;0.000004
ntps1-0.eecsit.tu-berlin.de;0.861982;0.001827;0.000030
ntps1-0.eecsit.tu-berlin.de;0.861547;0.002089;0.000058
ntps1-0.eecsit.tu-berlin.de;0.861825;0.001839;0.000034
ntps1-0.eecsit.tu-berlin.de;0.803791;0.098484;0.000013
ntps1-0.eecsit.tu-berlin.de;0.862195;0.002691;0.000039
ntps1-0.eecsit.tu-berlin.de;0.861901;0.001867;0.000065
ntps1-0.eecsit.tu-berlin.de;0.861793;0.001793;0.000028
ntps1-0.eecsit.tu-berlin.de;0.862019;0.001673;0.000054
ntps1-0.eecsit.tu-berlin.de;0.861863;0.001840;0.000014
ntps1-0.eecsit.tu-berlin.de;0.861991;0.001657;0.000043
ntps1-0.eecsit.tu-berlin.de;0.861929;0.001655;0.000004
