Hostname;Offset;Delay;rootDispersion
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.035952;0.005879;0.000053
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.036608;0.004842;0.000013
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.038676;0.008264;0.000039
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.035951;0.005111;0.000065
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.036234;0.004990;0.000010
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.034919;0.005602;0.000028
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.034938;0.005865;0.000039
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.036616;0.007921;0.000065
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.035207;0.004612;0.000025
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.035660;0.005382;0.000051
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.034934;0.006434;0.000012
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.034318;0.005324;0.000038
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.035036;0.007196;0.000064
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.033722;0.004959;0.000024
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.036012;0.006824;0.000050
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.033776;0.005005;0.000011
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.034087;0.007578;0.000021
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.033373;0.004976;0.000047
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.032420;0.004985;0.000008
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.034105;0.007706;0.000034
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.031900;0.005784;0.000060
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.033581;0.007806;0.000020
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.031938;0.006635;0.000046
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.031140;0.005117;0.000007
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.031789;0.006395;0.000041
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.030364;0.006087;0.000001
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.010182;0.030079;0.000027
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.029772;0.006204;0.000053
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.030389;0.005403;0.000014
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.030162;0.005359;0.000040
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.030458;0.007384;0.000000
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.028955;0.005940;0.000026
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.030691;0.007903;0.000052
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.028998;0.006914;0.000063
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.029107;0.006674;0.000023
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.030929;0.007057;0.000001
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.027301;0.006401;0.000027
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.029625;0.007924;0.000053
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.029459;0.007907;0.000014
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.027999;0.005007;0.000040
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.028556;0.008197;0.000000
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.028244;0.005754;0.000026
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.027432;0.005006;0.000037
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.026751;0.006192;0.000063
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.026121;0.005729;0.000023
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.027510;0.006605;0.000049
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.026973;0.006955;0.000025
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.026111;0.006534;0.000051
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.058018;0.038609;0.000012
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.027062;0.007555;0.000038
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.025247;0.006583;0.000064
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.025097;0.005036;0.000009
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.025756;0.007947;0.000035
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.025271;0.005808;0.000061
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.024700;0.005590;0.000021
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.024516;0.005992;0.000047
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.025186;0.006867;0.000008
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.015539;0.017383;0.000034
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.022108;0.006438;0.000060
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.023187;0.006621;0.000006
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.024223;0.007887;0.000032
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.022160;0.005585;0.000058
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.021297;0.006120;0.000019
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.023202;0.007953;0.000045
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.022429;0.005967;0.000005
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.022928;0.007799;0.000031
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.021865;0.005970;0.000057
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.021098;0.005006;0.000018
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.022950;0.007028;0.000029
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.020685;0.005171;0.000055
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.021407;0.006568;0.000015
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.019585;0.005955;0.000029
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.011020;0.005840;0.000055
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003819;0.005757;0.000015
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.000914;0.005384;0.000026
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.000022;0.006254;0.000052
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.004072;0.005793;0.000013
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.002198;0.007635;0.000039
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.003623;0.005453;0.000065
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.002537;0.006571;0.000025
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.000659;0.007130;0.000051
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.004032;0.005972;0.000051
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.004951;0.005806;0.000012
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.005331;0.004753;0.000038
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002168;0.013083;0.000049
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.006111;0.007905;0.000009
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.009004;0.006391;0.000064
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.010619;0.005381;0.000025
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;-0.008289;0.007276;0.000035
