Hostname;Offset;Delay;rootDispersion
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.029935;0.035378;0.000041
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004198;0.006367;0.000002
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004007;0.005705;0.000028
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003673;0.005720;0.000039
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004827;0.008334;0.000065
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002887;0.006457;0.000061
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002217;0.007046;0.000038
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003384;0.006931;0.000064
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002605;0.004515;0.000024
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004068;0.006217;0.000050
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003481;0.005771;0.000011
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003819;0.005837;0.000022
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003415;0.005301;0.000048
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003589;0.005775;0.000008
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004098;0.007662;0.000034
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002895;0.005096;0.000060
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004166;0.006206;0.000021
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003014;0.007290;0.000047
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002933;0.004872;0.000007
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004738;0.007042;0.000033
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002982;0.004894;0.000044
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002846;0.005042;0.000004
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003262;0.007212;0.000030
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002052;0.005870;0.000056
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004895;0.006877;0.000017
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002942;0.004768;0.000043
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004336;0.007145;0.000003
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002920;0.004837;0.000029
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002886;0.006331;0.000058
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004842;0.006917;0.000018
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.001963;0.005817;0.000044
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002863;0.006151;0.000042
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002764;0.005059;0.000002
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002218;0.005811;0.000028
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004180;0.006059;0.000054
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003634;0.006867;0.000015
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004969;0.006789;0.000041
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002398;0.005621;0.000001
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004377;0.007611;0.000027
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002371;0.005764;0.000038
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003078;0.006376;0.000043
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003656;0.006853;0.000004
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003134;0.004910;0.000010
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.005148;0.006873;0.000036
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003926;0.006599;0.000062
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003546;0.006005;0.000023
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002850;0.006153;0.000049
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003145;0.006499;0.000009
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003179;0.006566;0.000035
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004052;0.005638;0.000061
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003792;0.005793;0.000022
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.004804;0.007282;0.000048
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002471;0.005810;0.000059
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003687;0.006967;0.000019
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.002453;0.005854;0.000045
stratum2-4.NTP.TechFak.Uni-Bielefeld.DE;0.003562;0.006074;0.000021
