Hostname;Offset;Delay;rootDispersion
time1.uni-paderborn.de;-0.006108;0.007410;0.000038
time1.uni-paderborn.de;-0.008987;0.006723;0.000064
time1.uni-paderborn.de;-0.006217;0.007061;0.000025
time1.uni-paderborn.de;-0.006636;0.007301;0.000051
time1.uni-paderborn.de;-0.008943;0.007210;0.000011
time1.uni-paderborn.de;-0.009636;0.007584;0.000038
time1.uni-paderborn.de;-0.005882;0.008834;0.000064
time1.uni-paderborn.de;-0.006836;0.007359;0.000024
time1.uni-paderborn.de;-0.009668;0.007197;0.000050
time1.uni-paderborn.de;-0.008475;0.008328;0.000011
time1.uni-paderborn.de;-0.008551;0.005913;0.000037
time1.uni-paderborn.de;-0.007422;0.007113;0.000063
time1.uni-paderborn.de;-0.010071;0.007236;0.000023
time1.uni-paderborn.de;-0.009092;0.006134;0.000049
time1.uni-paderborn.de;-0.009997;0.006928;0.000010
time1.uni-paderborn.de;-0.010357;0.007213;0.000005
time1.uni-paderborn.de;-0.010221;0.007031;0.000031
time1.uni-paderborn.de;-0.010832;0.007522;0.000057
time1.uni-paderborn.de;-0.004996;0.010042;0.000017
time1.uni-paderborn.de;-0.066351;0.065375;0.000043
time1.uni-paderborn.de;-0.009702;0.008641;0.000019
time1.uni-paderborn.de;-0.011046;0.007446;0.000045
time1.uni-paderborn.de;-0.009730;0.008841;0.000006
time1.uni-paderborn.de;-0.009705;0.006004;0.000032
time1.uni-paderborn.de;-0.009804;0.006022;0.000058
time1.uni-paderborn.de;-0.003945;0.014083;0.000057
time1.uni-paderborn.de;-0.009713;0.005815;0.000018
time1.uni-paderborn.de;-0.011093;0.007125;0.000028
time1.uni-paderborn.de;-0.010270;0.008694;0.000054
time1.uni-paderborn.de;-0.011101;0.007058;0.000015
time1.uni-paderborn.de;-0.011271;0.007131;0.000041
time1.uni-paderborn.de;-0.010241;0.008670;0.000001
time1.uni-paderborn.de;-0.010448;0.006264;0.000027
time1.uni-paderborn.de;-0.009935;0.008219;0.000053
time1.uni-paderborn.de;-0.010488;0.008571;0.000014
time1.uni-paderborn.de;-0.017400;0.012427;0.000040
time1.uni-paderborn.de;-0.006906;0.009024;0.000000
time1.uni-paderborn.de;-0.011584;0.007156;0.000011
time1.uni-paderborn.de;-0.006825;0.012723;0.000037
time1.uni-paderborn.de;-0.011193;0.008197;0.000063
time1.uni-paderborn.de;-0.009096;0.006994;0.000024
time1.uni-paderborn.de;-0.103413;0.098719;0.000050
time1.uni-paderborn.de;-0.008063;0.008377;0.000010
time1.uni-paderborn.de;0.032186;0.048479;0.000036
time1.uni-paderborn.de;-0.009600;0.007284;0.000062
time1.uni-paderborn.de;-0.054400;0.087565;0.000023
time1.uni-paderborn.de;-0.012867;0.007266;0.000033
time1.uni-paderborn.de;-0.011971;0.006913;0.000059
time1.uni-paderborn.de;-0.008475;0.008421;0.000035
time1.uni-paderborn.de;-0.010994;0.005795;0.000061
time1.uni-paderborn.de;-0.009943;0.007244;0.000022
time1.uni-paderborn.de;-0.012862;0.007806;0.000048
time1.uni-paderborn.de;-0.011370;0.006092;0.000008
time1.uni-paderborn.de;-0.011570;0.005668;0.000034
time1.uni-paderborn.de;-0.012965;0.007002;0.000060
time1.uni-paderborn.de;-0.010234;0.007242;0.000021
time1.uni-paderborn.de;-0.012556;0.007018;0.000031
time1.uni-paderborn.de;-0.012555;0.006998;0.000058
time1.uni-paderborn.de;-0.012691;0.007013;0.000018
time1.uni-paderborn.de;-0.011648;0.005933;0.000044
time1.uni-paderborn.de;-0.010282;0.006988;0.000004
