Hostname;Offset;Delay;rootDispersion
time1.uni-paderborn.de;0.855451;0.007315;0.000054
time1.uni-paderborn.de;0.856948;0.005666;0.000014
time1.uni-paderborn.de;0.858180;0.007039;0.000040
time1.uni-paderborn.de;0.857047;0.005834;0.000001
time1.uni-paderborn.de;0.855656;0.007062;0.000027
time1.uni-paderborn.de;0.856845;0.008292;0.000053
time1.uni-paderborn.de;0.856579;0.005610;0.000029
time1.uni-paderborn.de;0.857574;0.006392;0.000055
time1.uni-paderborn.de;0.858184;0.007096;0.000065
time1.uni-paderborn.de;0.855820;0.006934;0.000026
time1.uni-paderborn.de;0.858303;0.006966;0.000052
time1.uni-paderborn.de;0.855501;0.006765;0.000012
time1.uni-paderborn.de;0.856962;0.006218;0.000038
time1.uni-paderborn.de;0.858353;0.007067;0.000064
time1.uni-paderborn.de;0.857075;0.005784;0.000025
time1.uni-paderborn.de;0.858198;0.007134;0.000051
time1.uni-paderborn.de;0.856649;0.007896;0.000011
time1.uni-paderborn.de;0.857072;0.005825;0.000037
time1.uni-paderborn.de;0.855252;0.007138;0.000014
time1.uni-paderborn.de;0.855948;0.006971;0.000040
time1.uni-paderborn.de;0.855596;0.007334;0.000001
time1.uni-paderborn.de;0.857148;0.005827;0.000027
time1.uni-paderborn.de;0.855903;0.007057;0.000053
time1.uni-paderborn.de;0.857391;0.005724;0.000013
time1.uni-paderborn.de;0.856988;0.006002;0.000039
time1.uni-paderborn.de;0.855969;0.006970;0.000050
time1.uni-paderborn.de;0.856733;0.008781;0.000011
time1.uni-paderborn.de;0.857249;0.005782;0.000037
time1.uni-paderborn.de;0.856976;0.005551;0.000063
time1.uni-paderborn.de;0.856989;0.005545;0.000023
time1.uni-paderborn.de;0.857724;0.006265;0.000049
time1.uni-paderborn.de;0.857247;0.008307;0.000010
time1.uni-paderborn.de;0.856020;0.007039;0.000036
time1.uni-paderborn.de;0.857305;0.005789;0.000062
time1.uni-paderborn.de;0.857142;0.005364;0.000007
time1.uni-paderborn.de;0.857182;0.005924;0.000033
time1.uni-paderborn.de;0.858631;0.006982;0.000059
time1.uni-paderborn.de;0.856067;0.007050;0.000019
time1.uni-paderborn.de;0.856111;0.007021;0.000045
time1.uni-paderborn.de;0.858711;0.006862;0.000006
time1.uni-paderborn.de;0.857192;0.005978;0.000032
time1.uni-paderborn.de;0.857364;0.008304;0.000058
time1.uni-paderborn.de;0.876678;0.024855;0.000018
time1.uni-paderborn.de;0.851273;0.011895;0.000044
time1.uni-paderborn.de;0.857411;0.005742;0.000055
time1.uni-paderborn.de;0.858347;0.007277;0.000016
time1.uni-paderborn.de;0.857512;0.005667;0.000042
time1.uni-paderborn.de;0.856533;0.007302;0.000002
time1.uni-paderborn.de;0.858589;0.007239;0.000028
time1.uni-paderborn.de;0.856891;0.007827;0.000054
time1.uni-paderborn.de;0.858743;0.006980;0.000015
time1.uni-paderborn.de;0.857689;0.006596;0.000041
time1.uni-paderborn.de;0.856207;0.007066;0.000001
time1.uni-paderborn.de;0.858730;0.007200;0.000027
time1.uni-paderborn.de;0.856225;0.007067;0.000038
time1.uni-paderborn.de;0.858032;0.006330;0.000064
time1.uni-paderborn.de;0.857520;0.005771;0.000024
time1.uni-paderborn.de;0.847755;0.018391;0.000050
time1.uni-paderborn.de;0.857452;0.005833;0.000026
time1.uni-paderborn.de;0.857532;0.008327;0.000052
time1.uni-paderborn.de;0.855980;0.006802;0.000013
