Hostname;Offset;Delay;rootDispersion
ntps1-0.eecsit.tu-berlin.de;0.025493;0.001880;0.000019
ntps1-0.eecsit.tu-berlin.de;0.025773;0.001822;0.000048
ntps1-0.eecsit.tu-berlin.de;0.026114;0.002195;0.000008
ntps1-0.eecsit.tu-berlin.de;0.025655;0.002055;0.000034
ntps1-0.eecsit.tu-berlin.de;0.027137;0.003976;0.000063
ntps1-0.eecsit.tu-berlin.de;0.025913;0.001626;0.000023
ntps1-0.eecsit.tu-berlin.de;0.027431;0.003837;0.000049
ntps1-0.eecsit.tu-berlin.de;0.025823;0.001757;0.000013
ntps1-0.eecsit.tu-berlin.de;0.025613;0.002057;0.000039
ntps1-0.eecsit.tu-berlin.de;0.025710;0.001873;0.000065
ntps1-0.eecsit.tu-berlin.de;0.025324;0.001801;0.000028
ntps1-0.eecsit.tu-berlin.de;0.026985;0.003321;0.000054
ntps1-0.eecsit.tu-berlin.de;0.025522;0.001489;0.000032
ntps1-0.eecsit.tu-berlin.de;0.027024;0.003007;0.000058
ntps1-0.eecsit.tu-berlin.de;0.026075;0.001760;0.000019
ntps1-0.eecsit.tu-berlin.de;0.031379;0.007243;0.000063
ntps1-0.eecsit.tu-berlin.de;0.025944;0.001810;0.000023
ntps1-0.eecsit.tu-berlin.de;0.026740;0.003261;0.000049
ntps1-0.eecsit.tu-berlin.de;0.025406;0.002238;0.000028
ntps1-0.eecsit.tu-berlin.de;0.027116;0.003094;0.000054
ntps1-0.eecsit.tu-berlin.de;0.025510;0.002350;0.000014
ntps1-0.eecsit.tu-berlin.de;0.030357;0.006297;0.000058
ntps1-0.eecsit.tu-berlin.de;0.026969;0.003044;0.000019
ntps1-0.eecsit.tu-berlin.de;0.025962;0.002111;0.000063
ntps1-0.eecsit.tu-berlin.de;0.027091;0.002954;0.000008
ntps1-0.eecsit.tu-berlin.de;0.025379;0.002176;0.000034
ntps1-0.eecsit.tu-berlin.de;0.031436;0.007435;0.000013
ntps1-0.eecsit.tu-berlin.de;0.025870;0.001689;0.000039
ntps1-0.eecsit.tu-berlin.de;0.031513;0.007842;0.000065
ntps1-0.eecsit.tu-berlin.de;0.026951;0.003056;0.000043
ntps1-0.eecsit.tu-berlin.de;0.026142;0.002504;0.000019
ntps1-0.eecsit.tu-berlin.de;0.026731;0.003412;0.000063
ntps1-0.eecsit.tu-berlin.de;-0.119857;0.147488;0.000023
ntps1-0.eecsit.tu-berlin.de;0.025758;0.001859;0.000049
ntps1-0.eecsit.tu-berlin.de;0.025608;0.001836;0.000043
ntps1-0.eecsit.tu-berlin.de;0.025816;0.001868;0.000004
ntps1-0.eecsit.tu-berlin.de;0.025647;0.001919;0.000048
ntps1-0.eecsit.tu-berlin.de;0.026781;0.003339;0.000008
ntps1-0.eecsit.tu-berlin.de;0.025914;0.002093;0.000019
