Hostname;Offset;Delay;rootDispersion
ntp0.rrze.uni-erlangen.de;0.024050;0.008600;0.000046
ntp0.rrze.uni-erlangen.de;0.026079;0.006816;0.000009
ntp0.rrze.uni-erlangen.de;0.028417;0.009204;0.000035
ntp0.rrze.uni-erlangen.de;0.025796;0.006769;0.000061
ntp0.rrze.uni-erlangen.de;0.027109;0.007905;0.000055
ntp0.rrze.uni-erlangen.de;0.027191;0.007968;0.000015
ntp0.rrze.uni-erlangen.de;0.025869;0.006708;0.000041
ntp0.rrze.uni-erlangen.de;0.028302;0.009339;0.000020
ntp0.rrze.uni-erlangen.de;0.025841;0.006710;0.000046
ntp0.rrze.uni-erlangen.de;0.025794;0.006749;0.000024
ntp0.rrze.uni-erlangen.de;0.027158;0.008236;0.000050
ntp0.rrze.uni-erlangen.de;0.025691;0.007438;0.000024
ntp0.rrze.uni-erlangen.de;0.026976;0.008066;0.000039
ntp0.rrze.uni-erlangen.de;0.025746;0.006801;0.000065
ntp0.rrze.uni-erlangen.de;0.025687;0.006845;0.000026
ntp0.rrze.uni-erlangen.de;0.029726;0.010731;0.000020
ntp0.rrze.uni-erlangen.de;0.025542;0.006405;0.000046
ntp0.rrze.uni-erlangen.de;0.025723;0.006833;0.000024
ntp0.rrze.uni-erlangen.de;0.025731;0.006797;0.000050
ntp0.rrze.uni-erlangen.de;0.025719;0.006824;0.000011
ntp0.rrze.uni-erlangen.de;0.026991;0.008053;0.000055
ntp0.rrze.uni-erlangen.de;0.025741;0.006814;0.000015
ntp0.rrze.uni-erlangen.de;0.030541;0.011707;0.000055
ntp0.rrze.uni-erlangen.de;0.026970;0.008071;0.000004
ntp0.rrze.uni-erlangen.de;0.025722;0.006781;0.000030
ntp0.rrze.uni-erlangen.de;0.025732;0.006816;0.000024
ntp0.rrze.uni-erlangen.de;0.026973;0.008064;0.000065
ntp0.rrze.uni-erlangen.de;0.025750;0.006799;0.000026
ntp0.rrze.uni-erlangen.de;0.025662;0.006855;0.000004
ntp0.rrze.uni-erlangen.de;0.027076;0.008204;0.000030
ntp0.rrze.uni-erlangen.de;0.025685;0.006776;0.000056
ntp0.rrze.uni-erlangen.de;0.026954;0.008071;0.000035
ntp0.rrze.uni-erlangen.de;0.025703;0.006822;0.000009
ntp0.rrze.uni-erlangen.de;0.025349;0.006617;0.000024
ntp0.rrze.uni-erlangen.de;0.025418;0.006584;0.000050
ntp0.rrze.uni-erlangen.de;0.025760;0.006806;0.000011
ntp0.rrze.uni-erlangen.de;0.031164;0.012319;0.000004
ntp0.rrze.uni-erlangen.de;0.026919;0.008021;0.000030
ntp0.rrze.uni-erlangen.de;0.031517;0.012669;0.000056
ntp0.rrze.uni-erlangen.de;0.030218;0.011293;0.000035
ntp0.rrze.uni-erlangen.de;0.026954;0.007966;0.000061
ntp0.rrze.uni-erlangen.de;0.025513;0.006955;0.000039
ntp0.rrze.uni-erlangen.de;0.030124;0.011267;0.000065
ntp0.rrze.uni-erlangen.de;0.026921;0.008051;0.000039
ntp0.rrze.uni-erlangen.de;0.025675;0.006791;0.000055
ntp0.rrze.uni-erlangen.de;0.090598;0.071775;0.000015
ntp0.rrze.uni-erlangen.de;0.026890;0.008090;0.000009
ntp0.rrze.uni-erlangen.de;0.025689;0.006805;0.000035
ntp0.rrze.uni-erlangen.de;0.025695;0.006822;0.000061
ntp0.rrze.uni-erlangen.de;0.026963;0.007931;0.000039
ntp0.rrze.uni-erlangen.de;0.025620;0.006874;0.000065
ntp0.rrze.uni-erlangen.de;0.025531;0.006852;0.000026
ntp0.rrze.uni-erlangen.de;0.025662;0.006815;0.000004
ntp0.rrze.uni-erlangen.de;0.025652;0.006819;0.000030
ntp0.rrze.uni-erlangen.de;0.026920;0.008061;0.000004
ntp0.rrze.uni-erlangen.de;0.025654;0.006813;0.000020
ntp0.rrze.uni-erlangen.de;0.026857;0.008107;0.000046
ntp0.rrze.uni-erlangen.de;0.026943;0.007968;0.000039
ntp0.rrze.uni-erlangen.de;0.025389;0.007058;0.000065
ntp0.rrze.uni-erlangen.de;0.026639;0.008353;0.000026
ntp0.rrze.uni-erlangen.de;0.025630;0.006850;0.000004
ntp0.rrze.uni-erlangen.de;0.024945;0.007522;0.000030
ntp0.rrze.uni-erlangen.de;0.026882;0.007957;0.000009
ntp0.rrze.uni-erlangen.de;0.025392;0.007075;0.000035
ntp0.rrze.uni-erlangen.de;0.026391;0.007483;0.000009
ntp0.rrze.uni-erlangen.de;0.025452;0.006970;0.000024
ntp0.rrze.uni-erlangen.de;0.025718;0.006729;0.000050
ntp0.rrze.uni-erlangen.de;0.026879;0.008071;0.000011
ntp0.rrze.uni-erlangen.de;0.025648;0.006854;0.000004
ntp0.rrze.uni-erlangen.de;0.025715;0.006723;0.000030
ntp0.rrze.uni-erlangen.de;0.026884;0.008005;0.000009
ntp0.rrze.uni-erlangen.de;0.025587;0.006864;0.000035
ntp0.rrze.uni-erlangen.de;0.025641;0.006763;0.000011
ntp0.rrze.uni-erlangen.de;0.025851;0.006893;0.000055
ntp0.rrze.uni-erlangen.de;0.025682;0.006730;0.000015
ntp0.rrze.uni-erlangen.de;0.025085;0.006785;0.000055
ntp0.rrze.uni-erlangen.de;0.025232;0.007102;0.000004
ntp0.rrze.uni-erlangen.de;0.026822;0.008114;0.000030
ntp0.rrze.uni-erlangen.de;0.025609;0.006770;0.000024
ntp0.rrze.uni-erlangen.de;0.025637;0.006833;0.000050
ntp0.rrze.uni-erlangen.de;0.026950;0.008022;0.000011
ntp0.rrze.uni-erlangen.de;0.026966;0.007981;0.000055
ntp0.rrze.uni-erlangen.de;0.025326;0.007082;0.000015
ntp0.rrze.uni-erlangen.de;0.033484;0.015122;0.000041
ntp0.rrze.uni-erlangen.de;0.025361;0.007085;0.000020
ntp0.rrze.uni-erlangen.de;0.025490;0.006914;0.000046
ntp0.rrze.uni-erlangen.de;0.026908;0.007938;0.000020
ntp0.rrze.uni-erlangen.de;0.025596;0.006805;0.000035
ntp0.rrze.uni-erlangen.de;0.026791;0.008012;0.000061
ntp0.rrze.uni-erlangen.de;0.026444;0.007631;0.000055
ntp0.rrze.uni-erlangen.de;0.025722;0.006658;0.000015
ntp0.rrze.uni-erlangen.de;0.026892;0.008032;0.000039
ntp0.rrze.uni-erlangen.de;0.025537;0.006843;0.000004
ntp0.rrze.uni-erlangen.de;0.027142;0.008369;0.000030
ntp0.rrze.uni-erlangen.de;0.025770;0.006945;0.000024
ntp0.rrze.uni-erlangen.de;0.025381;0.007072;0.000050
ntp0.rrze.uni-erlangen.de;0.086565;0.068151;0.000024
ntp0.rrze.uni-erlangen.de;0.026874;0.008077;0.000039
ntp0.rrze.uni-erlangen.de;0.025525;0.006837;0.000065
ntp0.rrze.uni-erlangen.de;0.026812;0.007998;0.000026
