Hostname;Offset;Delay;rootDispersion
ntp0.rrze.uni-erlangen.de;0.861192;0.007580;0.000011
ntp0.rrze.uni-erlangen.de;0.861732;0.006761;0.000055
ntp0.rrze.uni-erlangen.de;0.862654;0.008322;0.000015
ntp0.rrze.uni-erlangen.de;0.861527;0.007012;0.000041
ntp0.rrze.uni-erlangen.de;0.862919;0.008122;0.000020
ntp0.rrze.uni-erlangen.de;0.861471;0.007090;0.000046
ntp0.rrze.uni-erlangen.de;0.861522;0.007088;0.000020
ntp0.rrze.uni-erlangen.de;0.862172;0.008956;0.000035
ntp0.rrze.uni-erlangen.de;0.861442;0.007114;0.000061
ntp0.rrze.uni-erlangen.de;0.861033;0.006861;0.000055
ntp0.rrze.uni-erlangen.de;0.861454;0.006459;0.000015
ntp0.rrze.uni-erlangen.de;0.861549;0.006364;0.000041
ntp0.rrze.uni-erlangen.de;0.861073;0.006801;0.000020
ntp0.rrze.uni-erlangen.de;0.860912;0.006972;0.000046
ntp0.rrze.uni-erlangen.de;0.862899;0.008558;0.000024
ntp0.rrze.uni-erlangen.de;0.861159;0.006797;0.000050
ntp0.rrze.uni-erlangen.de;0.861132;0.006717;0.000024
ntp0.rrze.uni-erlangen.de;0.872321;0.017844;0.000039
ntp0.rrze.uni-erlangen.de;0.861082;0.006731;0.000065
ntp0.rrze.uni-erlangen.de;0.920581;0.065375;0.000026
ntp0.rrze.uni-erlangen.de;0.861576;0.006481;0.000020
ntp0.rrze.uni-erlangen.de;0.862719;0.009302;0.000046
ntp0.rrze.uni-erlangen.de;0.861157;0.007823;0.000024
ntp0.rrze.uni-erlangen.de;0.818809;0.067200;0.000050
ntp0.rrze.uni-erlangen.de;0.861231;0.011421;0.000011
ntp0.rrze.uni-erlangen.de;0.855003;0.014370;0.000004
ntp0.rrze.uni-erlangen.de;0.856701;0.011471;0.000030
ntp0.rrze.uni-erlangen.de;0.848332;0.020013;0.000004
ntp0.rrze.uni-erlangen.de;0.859835;0.008708;0.000020
ntp0.rrze.uni-erlangen.de;0.856439;0.012142;0.000046
ntp0.rrze.uni-erlangen.de;0.860485;0.008120;0.000039
